,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Nuevo acceso
123,2021,3,Chaco,42.96241007967663,43.82165828127016
124,2021,3,Chubut,80.70973847657562,82.32393324610713
125,2021,3,Córdoba,81.2845665540848,82.9102578851665
126,2021,3,Corrientes,44.90088312664412,45.798900789177004
127,2021,3,Entre Ríos,62.17940145385769,63.422989482934845
128,2021,3,Formosa,33.962033540684324,34.64127421149801
129,2021,3,Jujuy,55.6892647441935,56.80305003907737
130,2021,3,La Pampa,84.27996309653611,85.96556235846683
131,2021,3,La Rioja,77.26016061386845,78.80536382614582
132,2021,3,Mendoza,45.54828468056102,46.45925037417224
133,2021,3,Misiones,45.57065365808786,46.482066731249624
134,2021,3,Neuquén,69.70653344501615,71.10066411391648
135,2021,3,Río Negro,61.967213114754095,63.20655737704918
136,2021,3,Salta,55.964278059584196,57.083563620775884
137,2021,3,San Juan,39.4554480019856,40.244556962025314
138,2021,3,San Luis,79.87043349212911,81.46784216197169
139,2021,3,Santa Cruz,43.74732028012005,44.62226668572245
140,2021,3,Santa Fe,75.01704762728227,76.51738857982791
141,2021,3,Santiago Del Estero,47.0,47.94
142,2021,3,Tierra Del Fuego,94.95386825985027,96.85294562504727
143,2021,3,Tucumán,54.63604486100796,55.72876575822812
144,2021,2,Buenos Aires,70.00330336027972,71.40336942748532
145,2021,2,Capital Federal,110.14440203212098,112.3472900727634
146,2021,2,Catamarca,52.34030966263861,53.38711585589138
147,2021,2,Chaco,43.32762729293539,44.1941798387941
148,2021,2,Chubut,72.29410481936469,73.73998691575198
149,2021,2,Córdoba,80.11518795931242,81.71749171849868
150,2021,2,Corrientes,43.5411637336848,44.411987008358494
151,2021,2,Entre Ríos,61.660264464787886,62.89346975408365
152,2021,2,Formosa,33.22548419322613,33.88999387709065
153,2021,2,Jujuy,56.182157011467694,57.30580015169705
154,2021,2,La Pampa,82.08000672325404,83.72160685771912
155,2021,2,La Rioja,76.9786615851933,78.51823481689716
156,2021,2,Mendoza,40.97324182617088,41.79270666269429
157,2021,2,Misiones,45.0128113119994,45.91306753823939
158,2021,2,Neuquén,69.14021084638621,70.52301506331393
159,2021,2,Río Negro,61.94204057417748,63.18088138566103
160,2021,2,Salta,54.930090174788894,56.02869197828468
161,2021,2,San Juan,39.28402570062062,40.06970621463303
162,2021,2,San Luis,83.47810720063075,85.14766934464336
163,2021,2,Santa Cruz,44.01491665543425,44.89521498854293
164,2021,2,Santa Fe,75.06878626293008,76.57016198818867
165,2021,2,Santiago Del Estero,46.557275364921054,47.48842087221948
166,2021,2,Tierra Del Fuego,67.88580775229184,69.24352390733767
167,2021,2,Tucumán,54.928196510348045,56.02676044055501
168,2021,1,Buenos Aires,69.10524076185938,70.48734557709656
169,2021,1,Capital Federal,108.4199392232935,110.58833800775938
170,2021,1,Catamarca,48.899092927848244,49.87707478640521
171,2021,1,Chaco,43.13649241708794,43.9992222654297
172,2021,1,Chubut,68.9942808881567,70.37416650591983
173,2021,1,Córdoba,78.59028062380018,80.16208623627618
174,2021,1,Corrientes,42.664128438821415,43.51741100759784
175,2021,1,Entre Ríos,60.439449728342346,61.64823872290919
176,2021,1,Formosa,32.732955756327215,33.387614871453756
177,2021,1,Jujuy,55.63244789620541,56.74509685412952
178,2021,1,La Pampa,81.77676345752207,83.4122987266725
179,2021,1,La Rioja,49.80693519079345,50.80307389460933
180,2021,1,Mendoza,39.153661528996416,39.936734759576346
181,2021,1,Misiones,43.172438905971845,44.035887684091286
182,2021,1,Neuquén,66.84208942045272,68.17893120886178
183,2021,1,Río Negro,60.87924030325769,62.09682510932284
184,2021,1,Salta,53.93001926339093,55.00861964865875
185,2021,1,San Juan,39.055194335357605,39.836298222064755
186,2021,1,San Luis,81.23730177127507,82.86204780670057
187,2021,1,Santa Cruz,41.64783103990742,42.48078766070557
188,2021,1,Santa Fe,73.91656407026184,75.39489535166707
189,2021,1,Santiago Del Estero,45.67308282365455,46.58654448012764
190,2021,1,Tierra Del Fuego,77.34935609177366,78.89634321360913
191,2021,1,Tucumán,54.81892254125389,55.91530099207897
192,2020,4,Buenos Aires,68.97702220170737,70.35656264574152
193,2020,4,Capital Federal,108.31107489043508,110.47729638824379
194,2020,4,Catamarca,49.40688354549741,50.39502121640736
195,2020,4,Chaco,43.030788649779105,43.891404422774684
196,2020,4,Chubut,68.35189915825622,69.71893714142134
197,2020,4,Córdoba,78.07960876338194,79.64120093864958
198,2020,4,Corrientes,42.42828394694903,43.27684962588801
199,2020,4,Entre Ríos,59.47430676097378,60.66379289619326
200,2020,4,Formosa,32.487381907596735,33.13712954574867
201,2020,4,Jujuy,53.45659123390888,54.52572305858706
202,2020,4,La Pampa,81.76793248945148,83.40329113924051
203,2020,4,La Rioja,50.11061211701148,51.112824359351706
204,2020,4,Mendoza,38.62957896227819,39.40217054152375
205,2020,4,Misiones,42.64411416119227,43.49699644441612
206,2020,4,Neuquén,67.00234522048092,68.34239212489054
207,2020,4,Río Negro,61.088615480454756,62.31038779006385
208,2020,4,Salta,54.04275200147659,55.123607041506126
209,2020,4,San Juan,36.32088215575813,37.04729979887329
210,2020,4,San Luis,81.67947806105701,83.31306762227815
211,2020,4,Santa Cruz,36.99957245908797,37.73956390826973
212,2020,4,Santa Fe,73.58073807267776,75.05235283413131
213,2020,4,Santiago Del Estero,43.749256620689934,44.62424175310373
214,2020,4,Tierra Del Fuego,76.26583496977399,77.79115166916947
215,2020,4,Tucumán,54.78340441369959,55.87907250197359
216,2020,3,Buenos Aires,67.65618983090923,69.00931362752742
217,2020,3,Capital Federal,107.6759011657323,109.82941918904694
218,2020,3,Catamarca,47.15709898417198,48.10024096385542
219,2020,3,Chaco,41.54192057806515,42.372758989626455
220,2020,3,Chubut,68.34389815720037,69.71077612034438
221,2020,3,Córdoba,75.22035723669207,76.72476438142591
222,2020,3,Corrientes,41.750749470464434,42.58576445987372
223,2020,3,Entre Ríos,58.1901640924315,59.35396737428013
224,2020,3,Formosa,31.905623310186538,32.54373577639027
225,2020,3,Jujuy,54.04441923820905,55.12530762297323
226,2020,3,La Pampa,79.26447706670275,80.84976660803682
227,2020,3,La Rioja,50.118113236302676,51.12047550102873
228,2020,3,Mendoza,37.348633137232696,38.09560579997735
229,2020,3,Misiones,41.60448628544863,42.436576011157605
230,2020,3,Neuquén,65.24417025530218,66.54905366040822
231,2020,3,Río Negro,57.052405915845014,58.19345403416192
232,2020,3,Salta,52.31571212848803,53.362026371057794
233,2020,3,San Juan,38.78995525412846,39.56575435921103
234,2020,3,San Luis,79.96172209417188,81.56095653605531
235,2020,3,Santa Cruz,35.95152890784452,36.67055948600141
236,2020,3,Santa Fe,72.12060247348236,73.56301452295202
237,2020,3,Santiago Del Estero,43.37593131691913,44.24344994325751
238,2020,3,Tierra Del Fuego,76.80909583946696,78.34527775625631
239,2020,3,Tucumán,53.2281495112899,54.2927125015157
240,2020,2,Buenos Aires,65.2205801358229,66.52499173853936
241,2020,2,Capital Federal,106.41480599073645,108.54310211055119
242,2020,2,Catamarca,45.43181818181818,46.34045454545454
243,2020,2,Chaco,39.83250279006581,40.629152845867125
244,2020,2,Chubut,57.344613387235526,58.49150565498024
245,2020,2,Córdoba,72.71358531242393,74.16785701867241
246,2020,2,Corrientes,40.30476267979574,41.11085793339166
247,2020,2,Entre Ríos,56.538654739709614,57.66942783450381
248,2020,2,Formosa,31.1394362262631,31.76222495078836
249,2020,2,Jujuy,47.887810227872784,48.84556643243024
250,2020,2,La Pampa,76.10158288987562,77.62361454767313
251,2020,2,La Rioja,49.83993501839552,50.83673371876343
252,2020,2,Mendoza,36.25224342110005,36.97728828952205
253,2020,2,Misiones,40.88779600969606,41.705551929889985
254,2020,2,Neuquén,63.898469033764314,65.1764384144396
255,2020,2,Río Negro,56.369335248791955,57.496721953767796
256,2020,2,Salta,51.58158335340357,52.61321502047164
257,2020,2,San Juan,35.09485776365026,35.79675491892327
258,2020,2,San Luis,78.4096773527651,79.9778708998204
259,2020,2,Santa Cruz,35.79262396979603,36.50847644919195
260,2020,2,Santa Fe,70.002168637187,71.40221200993074
261,2020,2,Santiago Del Estero,43.46716682468362,44.336510161177294
262,2020,2,Tierra Del Fuego,76.36948260742473,77.89687225957323
263,2020,2,Tucumán,51.78074091030483,52.81635572851093
264,2020,1,Buenos Aires,64.32563101743429,65.61214363778298
265,2020,1,Capital Federal,105.98017414181909,108.09977762465547
266,2020,1,Catamarca,37.615427687460254,38.36773624120946
267,2020,1,Chaco,37.483833369172615,38.23351003655607
268,2020,1,Chubut,51.26848941909703,52.293859207478974
269,2020,1,Córdoba,70.6880744339108,72.10183592258902
270,2020,1,Corrientes,38.729079942230904,39.50366154107552
271,2020,1,Entre Ríos,56.12006051437216,57.242461724659606
272,2020,1,Formosa,30.228303962606848,30.832870041858985
273,2020,1,Jujuy,46.670230639987786,47.60363525278754
274,2020,1,La Pampa,75.76678781291396,77.28212356917224
275,2020,1,La Rioja,46.346631384166976,47.27356401185032
276,2020,1,Mendoza,33.14207670017271,33.804918234176164
277,2020,1,Misiones,39.01834755171205,39.798714502746286
278,2020,1,Neuquén,61.84749362355069,63.084443496021706
279,2020,1,Río Negro,55.11566865962362,56.217982032816096
280,2020,1,Salta,49.59568027012866,50.58759387553123
281,2020,1,San Juan,32.392292136304725,33.04013797903082
282,2020,1,San Luis,76.30854184641933,77.83471268334772
283,2020,1,Santa Cruz,35.97427628896549,36.6937618147448
284,2020,1,Santa Fe,69.52357940253133,70.91405099058196
285,2020,1,Santiago Del Estero,42.466359187991806,43.315686371751646
