,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Acceso actual,Nuevo acceso,KPI,Cambio porcentual,Aumento 2%
840,2014,1,Buenos Aires,54.57007287943976,54.57007287943976,55.66147433702856,1.9999999999999991,,False
841,2014,1,Capital Federal,112.25412278926912,112.25412278926912,114.4992052450545,1.9999999999999973,,False
842,2014,1,Catamarca,24.251751254585557,24.251751254585557,24.73678627967727,2.0000000000000027,,False
843,2014,1,Chaco,20.71853886384081,20.71853886384081,21.132909641117624,1.9999999999999956,,False
844,2014,1,Chubut,41.23521807972435,41.23521807972435,42.05992244131883,1.9999999999999944,,False
845,2014,1,Córdoba,52.51784754400632,52.51784754400632,53.56820449488645,2.0000000000000053,,False
846,2014,1,Corrientes,22.31671671383888,22.31671671383888,22.763051048115656,1.999999999999998,,False
847,2014,1,Entre Ríos,34.367121821250166,34.367121821250166,35.05446425767517,2.0000000000000067,,False
848,2014,1,Formosa,17.418451079368708,17.418451079368708,17.76682010095608,1.9999999999999967,,False
849,2014,1,Jujuy,18.41535244687765,18.41535244687765,18.783659495815204,1.9999999999999967,,False
850,2014,1,La Pampa,48.42532103828204,48.42532103828204,49.393827459047685,2.000000000000003,,False
851,2014,1,La Rioja,16.294104815837528,16.294104815837528,16.61998691215428,1.9999999999999973,,False
852,2014,1,Mendoza,31.91312298660578,31.91312298660578,32.551385446337896,1.9999999999999973,,False
853,2014,1,Misiones,23.13653864847733,23.13653864847733,23.599269421446877,2.0000000000000004,,False
854,2014,1,Neuquén,49.79160519138556,49.79160519138556,50.787437295213266,1.9999999999999958,,False
855,2014,1,Río Negro,44.913957131788514,44.913957131788514,45.812236274424286,2.000000000000004,,False
856,2014,1,Salta,28.69955950963068,28.69955950963068,29.273550699823296,2.0000000000000044,,False
857,2014,1,San Juan,27.59549302299609,27.59549302299609,28.147402883456014,2.0000000000000013,,False
858,2014,1,San Luis,9.347207842190002,9.347207842190002,9.534151999033803,2.0000000000000058,,False
859,2014,1,Santa Cruz,28.939093063577776,28.939093063577776,29.51787492484933,1.9999999999999973,,False
860,2014,1,Santa Fe,47.84766256547095,47.84766256547095,48.80461581678037,2.0000000000000058,,False
861,2014,1,Santiago Del Estero,16.309923503967603,16.309923503967603,16.636121974046954,1.999999999999995,,False
862,2014,1,Tierra Del Fuego,63.965925574153744,63.965925574153744,65.24524408563681,1.9999999999999911,,False
863,2014,1,Tucumán,33.4209747934719,33.4209747934719,34.089394289341335,1.999999999999995,,False
816,2014,2,Buenos Aires,55.06141695143392,55.06141695143392,56.1626452904626,2.0000000000000027,0.9003910863004894,False
817,2014,2,Capital Federal,113.1433524754098,113.1433524754098,115.406219524918,2.0000000000000053,0.7921577079266884,False
818,2014,2,Catamarca,24.703118860058403,24.703118860058403,25.19718123725957,1.9999999999999982,1.8611753053813018,False
819,2014,2,Chaco,20.95799636749445,20.95799636749445,21.377156294844337,1.9999999999999956,1.1557644350661977,False
820,2014,2,Chubut,41.41020981991258,41.41020981991258,42.238414016310834,2.000000000000005,0.42437447487218005,False
821,2014,2,Córdoba,53.448126115626,53.448126115626,54.51708863793852,1.9999999999999956,1.771357005521157,False
822,2014,2,Corrientes,22.575613003243586,22.575613003243586,23.02712526330846,2.000000000000009,1.160100263513053,False
823,2014,2,Entre Ríos,34.687432371459764,34.687432371459764,35.38118101888896,2.0000000000000018,0.9320261145975284,False
824,2014,2,Formosa,17.54041175485166,17.54041175485166,17.891219989948695,2.000000000000005,0.7001809456376407,False
825,2014,2,Jujuy,18.706060999413573,18.706060999413573,19.080182219401845,2.0000000000000013,1.5786206284920334,False
826,2014,2,La Pampa,49.70759616034458,49.70759616034458,50.70174808355147,2.000000000000002,2.647943461332658,True
827,2014,2,La Rioja,16.502564816345664,16.502564816345664,16.83261611267258,2.0000000000000058,1.2793584113041767,False
828,2014,2,Mendoza,32.098238150241194,32.098238150241194,32.740202913246016,1.9999999999999933,0.5800596942928671,False
829,2014,2,Misiones,23.367747601299843,23.367747601299843,23.83510255332584,1.9999999999999967,0.9993238674780303,False
830,2014,2,Neuquén,50.84274905844866,50.84274905844866,51.859604039617636,2.000000000000005,2.1110865235671517,True
831,2014,2,Río Negro,45.33491032014632,45.33491032014632,46.24160852654925,2.0000000000000058,0.9372435991837236,False
832,2014,2,Salta,28.91459400086288,28.91459400086288,29.492885880880138,1.9999999999999993,0.7492605980939926,False
833,2014,2,San Juan,27.782697817958912,27.782697817958912,28.33835177431809,2.0000000000000058,0.6783890210144694,False
834,2014,2,San Luis,9.717910199871824,9.717910199871824,9.91226840386926,2.0000000000000053,3.9659154256590057,True
835,2014,2,Santa Cruz,29.377007153054272,29.377007153054272,29.96454729611536,2.0000000000000058,1.5132267224630125,False
836,2014,2,Santa Fe,48.39035138670138,48.39035138670138,49.35815841443541,1.9999999999999951,1.1342013217215507,False
837,2014,2,Santiago Del Estero,16.695567347354444,16.695567347354444,17.029478694301535,2.000000000000008,2.364473648776033,True
838,2014,2,Tierra Del Fuego,64.35604517159936,64.35604517159936,65.64316607503135,1.9999999999999938,0.6098865824951893,False
839,2014,2,Tucumán,33.94452688568229,33.94452688568229,34.62341742339594,2.0000000000000084,1.5665374677002575,False
792,2014,3,Buenos Aires,56.75473916407103,56.75473916407103,57.88983394735246,2.000000000000006,3.0753335209856347,True
793,2014,3,Capital Federal,113.8005123324155,113.8005123324155,116.0765225790638,2.0000000000000018,0.5808205631422592,False
794,2014,3,Catamarca,24.706121305327624,24.706121305327624,25.200243731434178,2.000000000000004,0.012154114167639563,False
